link,brand,series,size,price,info
"/Produkt/Serum/LOreal-Paris-Age-Perfect-Cell-Renew-serum-do-twarzy-na-noc-30-ml,390628,9225",L'ORÉAL PARIS,Age Perfect Cell Renew,30 ml,"89,99 zł","serum do twarzy na noc, "
"/Produkt/Serum/Christian-Laurent-Edition-de-Luxe-diamentowe-serum-napinajace-do-twarzy-30-ml,317887,9225",CHRISTIAN LAURENT,Edition de Luxe,30 ml,"67,99 zł","diamentowe serum napinające do twarzy, "
"/Produkt/Serum/Dermika-Luxury-Caviar-kawiorowe-serium-przeciwzmarszczkowe-w-kapsulkach-60g,409859,9225",DERMIKA,Luxury Caviar,60g,"99,99 zł","kawiorowe serium przeciwzmarszczkowe w kapsułkach, "
"/Produkt/Serum/Dermika-Luxury-Ceramides-serum-przeciwzmarszczkowe-w-kapsulkach-60-g,409858,9225",DERMIKA,Luxury Ceramides,60 g,"99,99 zł","serum przeciwzmarszczkowe w kapsułkach., "
"/Produkt/Serum/Janda-Collagen-Reconstructor-odmladzajace-serum-odzywka-na-twarz-szyje-i-dekolt-50-ml,331796,9225",JANDA,Collagen Reconstructor,50 ml,"53,99 zł","odmładzające serum-odżywka na twarz, szyję i dekolt, "
"/Produkt/Serum/Alterra-BIO-serum-przeciwzmarszczkowe-Bio-orchidea-30-ml,171036,9225",ALTERRA,BIO,30 ml,"22,99 zł","serum przeciwzmarszczkowe Bio orchideą, "
"/Produkt/Serum/Janda-Szafirowy-nosnik-dermosenolityczne-serum-na-twarz-szyje-i-dekolt-30ml,394448,9225",JANDA,Szafirowy nośnik,30ml,"54,99 zł","dermosenolityczne serum na twarz, szyję i dekolt, "
"/Produkt/Serum/Nivea-Cellular-Luminous-intensywne-serum-przeciw-przebarwieniom-skory-30-ml,381361,9225",NIVEA,Cellular Luminous,30 ml,"89,99 zł","intensywne serum przeciw przebarwieniom skóry, "
"/Produkt/Serum/Nivea-Cellular-Luminous-krem-redukujacy-cienie-pod-oczami-15-ml,394835,9225",NIVEA,Cellular Luminous,15 ml,"69,99 zł","krem redukujący cienie pod oczami, "
"/Produkt/Serum/More4Care-serum-zelazko-blyskawiczne-do-twarzy-szyi-i-dekoltu-35-ml,410089,9225",MORE4CARE,@NO_NAME@,35 ml,"79,99 zł","serum-żelazko, błyskawiczne, do twarzy szyi i dekoltu, "
"/Produkt/Serum/Lift4Skin-Beauty-Booster-serum-krem-nawilzajacy-SPF-30-2-kwas-hialuronowy-B5-30-ml,372712,9225",LIFT4SKIN,Beauty Booster,30 ml,"62,99 zł","serum + krem nawilżający SPF 30+ 2% kwas hialuronowy + B5, "
"/Produkt/Serum/Lift4Skin-Beauty-Booster-serum-krem-wygladzajacy-SPF-30-10-niacynamid-30-ml,372714,9225",LIFT4SKIN,Beauty Booster,30 ml,"62,99 zł","serum + krem wygładzający, SPF 30+ 10% niacynamid, "
"/Produkt/Serum/Lift4Skin-Beauty-Booster-serum-krem-rewitalizujacy-SPF-30-12-witamina-C-30-ml,372713,9225",LIFT4SKIN,Beauty Booster,30 ml,"62,99 zł","serum + krem rewitalizujący SPF 30+ 12% witamina C, "
"/Produkt/Serum/Dr-Skin-Clinic-booster-tradzik-kwas-salicylowy-03-destylat-olejku-z-drzewa-herbacianego-30-ml,357646,9225",DR SKIN CLINIC,@NO_NAME@,30 ml,"64,99 zł","booster trądzik, kwas salicylowy 0,3%, destylat olejku z drzewa herbacianego, "
"/Produkt/Serum/Yoskine-Geisha-Gold-Secret-serum-liftingujace-z-lipidami-sojowymi-30-ml,343053,9225",YOSKINE,Geisha Gold Secret,30 ml,"62,99 zł","serum liftingujące z lipidami sojowymi, "
"/Produkt/Serum/Dr-Skin-Clinic-booster-zmarszczki-4-Peptydy-30-ml,357647,9225",DR SKIN CLINIC,@NO_NAME@,30 ml,"89,99 zł","booster zmarszczki, 4% Peptydy, "
"/Produkt/Serum/Dr-Skin-Clinic-booster-rozjasnianie-15-Witamina-C-5-Glukonolakton-30-ml,357644,9225",DR SKIN CLINIC,@NO_NAME@,30 ml,"74,99 zł","booster rozjaśnianie 15% Witamina C, 5% Glukonolakton, "
"/Produkt/Serum/Dr-Skin-Clinic-booster-odmladzanie-1-Retinoidy-30-ml,357645,9225",DR SKIN CLINIC,@NO_NAME@,30 ml,"99,99 zł","booster odmładzanie 1% Retinoidy, "
"/Produkt/Serum/Onlybio-Ritualia-Tranquilty-serum-do-twarzy-30-ml,368089,9225",ONLYBIO,Ritualia Tranquilty,30 ml,"53,99 zł","serum do twarzy, "
"/Produkt/Serum/Onlybio-Ritualia-Tranquilty-serum-do-twarzy-30-ml,367468,9225",ONLYBIO,Ritualia Tranquilty,30 ml,"53,99 zł","serum do twarzy, "
"/Produkt/Serum/Bielenda-Professional-Vit-C-Activ-3-serum-z-aktywna-witamina-C-15-ml,357637,9225",BIELENDA PROFESSIONAL,Vit-C Activ,15 ml,"49,99 zł","3% serum z aktywną witaminą C, "
"/Produkt/Serum/Bielenda-Professional-Peptide-Lift-3-serum-z-peptydami-15-ml,357638,9225",BIELENDA PROFESSIONAL,Peptide Lift,15 ml,"51,99 zł","3% serum z peptydami, "
"/Produkt/Serum/Bielenda-Professional-Peptide-Lift-koncentrat-ujedrniajacy-z-syn-coll-5-i-peptydem-miedzi-15-ml,390482,9225",BIELENDA PROFESSIONAL,Peptide Lift,15 ml,"54,99 zł","koncentrat ujędrniający z syn®-coll 5% i peptydem miedzi, "
"/Produkt/Serum/Bielenda-Professional-Peptide-Lift-serum-pod-oczy-z-kompleksem-rozswietlajaco-ujedrniajacym-8-15-m,390483,9225",BIELENDA PROFESSIONAL,Peptide Lift,15 ml,"52,99 zł","serum pod oczy z kompleksem rozświetlająco-ujędrniającym 8%, "
"/Produkt/Serum/LOreal-Paris-Revitalift-Laser-X3-serum-regenerujace-anti-age-40-30-ml,173157,9225",L'ORÉAL PARIS,Revitalift Laser X3,30 ml,"57,99 zł","serum regenerujące anti-age, 40+, "
"/Produkt/Serum/LOreal-Paris-Revitalift-Laser-serum-do-twarzy-na-noc-glebokie-zmarszczki-Pure-Retinol-30-ml,366328,9225",L'ORÉAL PARIS,Revitalift Laser,30 ml,"64,99 zł","serum do twarzy na noc głębokie zmarszczki, Pure Retinol, "
"/Produkt/Serum/Yoskine-Okinawa-Green-Caviar-serum-kawiorowe-pod-krem-30-ml,318355,9225",YOSKINE,Okinawa Green Caviar,30 ml,"57,99 zł","serum kawiorowe pod krem, "
"/Produkt/Serum/Biotaniqe-Lift-Infusion-liposomowe-serum-liftingujace-na-dzien-i-na-noc-cera-dojrzala-20-ml,408548,9225",BIOTANIQE,Lift Infusion,20 ml,"44,99 zł","liposomowe serum liftingujące na dzień i na noc cera dojrzała, "
"/Produkt/Serum/LOreal-Paris-Revitalift-Filler-7-dniowa-kuracja-w-ampulkach-40-7-ml,313601,9225",L'ORÉAL PARIS,Revitalift Filler,7 ml,"79,99 zł","7 dniowa kuracja w ampułkach 40+, "
"/Produkt/Serum/LOreal-Paris-Revitalift-Filler-serum-przeciwzmarszczkowe-15-czystego-kwasu-hialuronowego-30-ml,357736,9225",L'ORÉAL PARIS,Revitalift Filler,30 ml,"57,99 zł","serum przeciwzmarszczkowe, 1,5% czystego kwasu hialuronowego, "
"/Produkt/Serum/LOreal-Paris-Revitalift-Filler-serum-pod-oczy-zmniejszajace-cienie-pod-oczami-i-redukujace-zmarszc,390621,9225",L'ORÉAL PARIS,Revitalift Filler,20 ml,"74,99 zł","serum pod oczy, zmniejszające cienie pod oczami i redukujące zmarszczki, "
"/Produkt/Serum/Nivea-Cellular-PROFESSIONAL-serum-do-twarzy-odpowiednie-dla-wszystkich-typow-skory-30-ml,394828,9225",NIVEA,Cellular PROFESSIONAL,30 ml,"59,99 zł","serum do twarzy odpowiednie dla wszystkich typów skóry, "
"/Produkt/Serum/Nivea-Cellular-PROFESSIONAL-serum-do-twarzy-odpowiednie-dla-wszystkich-typow-skory-30-ml,394829,9225",NIVEA,Cellular PROFESSIONAL,30 ml,"59,99 zł","serum do twarzy odpowiednie dla wszystkich typów skóry, "
"/Produkt/Serum/Nivea-Q10-Power-przeciwzmarszczkowy-multifunkcyjny-olejek-pielegnujacy-30-ml,327274,9225",NIVEA,Q10 Power,30 ml,"68,99 zł","przeciwzmarszczkowy, multifunkcyjny olejek pielęgnujący, "
"/Produkt/Serum/Nivea-Q10-Power-serum-przeciwzmarszczkowe-Skoncentrowane-Perly-Mlodosci-30-ml,373964,9225",NIVEA,Q10 Power,30 ml,"59,99 zł","serum przeciwzmarszczkowe Skoncentrowane Perły Młodości, "
"/Produkt/Serum/Nivea-Q10-przeciwzmarszczkowy-multiregenerujacy-krem-serum-na-noc-30-ml,411269,9225",NIVEA,Q10,30 ml,"45,99 zł","przeciwzmarszczkowy, multiregenerujący krem-serum na noc, "
"/Produkt/Serum/Janda-Sila-Wypelniacza-Hialuronowego-hialusferyczne-serum-wypelniacz-zmarszczek-50-ml,321333,9225",JANDA,Siła Wypełniacza Hialuronowego,50 ml,"36,99 zł","hialusferyczne serum, wypełniacz zmarszczek, "
"/Produkt/Serum/Lirene-Diamentowy-Lifting-3D-serum-do-twarzy-przeciwzmarszczkowe-wygladzajace-dzien-noc-30-ml,409515,9225",LIRENE,Diamentowy Lifting 3D,30 ml,"29,99 zł","serum do twarzy przeciwzmarszczkowe, wygładzające, dzień/noc, "
"/Produkt/Serum/Eveline-Cosmetics-Face-Therapy-Professional-serum-Shot-5-Kofeina-Kwas-hialuronowy-Witamina-C-Cg-op,411033,9225",EVELINE COSMETICS,Face Therapy Professional,30 ml,"39,99 zł","serum Shot 5% Kofeina, Kwas hialuronowy, Witamina C+Cg, opuchnięcia, "
"/Produkt/Serum/Eveline-Cosmetics-Face-Therapy-Professional-serum-Shot-Multipeptydy-Kolagen-Ceramidy-odmlodzenie-30,396448,9225",EVELINE COSMETICS,Face Therapy Professional,30 ml,"39,99 zł","serum Shot Multipeptydy, Kolagen, Ceramidy, odmłodzenie, "
