link,brand,series,size,price,info,ingredients
"/Produkt/Serum/LOreal-Paris-Age-Perfect-Cell-Renew-serum-do-twarzy-na-noc-30-ml,390628,9225",L'ORÉAL PARIS,Age Perfect Cell Renew,30 ml,"89,99 zł","serum do twarzy na noc, ",909064 38B - INGREDIENTS: AQUA / WATER • DIMETHICONE • GLYCERIN • ALCOHOL DENAT. • PEG-8 • DIPROPYLENE GLYCOL • SACCHAROMYCES/XYLINUM/BLACK TEA FERMENT • PROPYLENE GLYCOL • POLYSILICONE-11 • BIS-PEG-18 METHYL ETHER DIMETHYL SILANE • TUBER AESTIVUM EXTRACT • TUBER MELANOSPORUM EXTRACT • ADENOSINE • CAPRYLOYL SALICYLIC ACID • NEOHESPERIDIN DIHYDROCHALCONE • SODIUM HYALURONATE • TRISODIUM ETHYLENEDIAMINE DISUCCINATE • TOCOPHEROL • OCTYLDODECANOL • SQUALANE • AMMONIUM POLYACRYLOYLDIMETHYL TAURATE • BIOSACCHARIDE GUM-4 • BIOTIN • CAPRYLYL GLYCOL • CITRIC ACID • HYDROXYETHYLCELLULOSE • PEG-20 METHYL GLUCOSE SESQUISTEARATE • POLOXAMER 338 • SODIUM CITRATE • XANTHAN GUM • BIS-PEG/PPG-16/16 PEG/PPG-16/16 DIMETHICONE • CAPRYLIC/CAPRIC TRIGLYCERIDE • BENZYL ALCOHOL • HEXYL CINNAMAL • HYDROXYCITRONELLAL • CI 14700 / RED 4 • CI 19140 / YELLOW 5 • PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE • PHENOXYETHANOL • POTASSIUM SORBATE • SODIUM BENZOATE • SODIUM SALICYLATE • PARFUM / FRAGRANCE. (F.I.L. Z284414/1).
"/Produkt/Serum/Christian-Laurent-Edition-de-Luxe-diamentowe-serum-napinajace-do-twarzy-30-ml,317887,9225",CHRISTIAN LAURENT,Edition de Luxe,30 ml,"67,99 zł","diamentowe serum napinające do twarzy, ","Aqua (water), Glycerin, Snail Secretion Filtrate, Isopropyl Myristate, Ceteareth-20, Cetearyl Alcohol, Dimethicone, Butyrospermum Parkii Butter, Prunus Amygdalus Dulcis Oil, Moringa Oleifera Seed Oil, Colloidal Platinum, leuconostoc/Radish Root Ferment Filtrate, Soy Isoflavones, Pullulan, Sodium Hyaluronate, Acetyl Hexapeptide-8, Heptapeptide-7, Betaine, Tocopheryl Acetate, Niacinamide, Ascorbyl Tetraisopalmitate, Magnesium PCA, Serine, Carosine, Trehalose, Urea, Gold, Diamond Powder, Fraxinus Excelsior Bark Extract, Silanetriol, Phenoxyethanol, Ethylhexylglycerin, Hydroxyacetophenone, Sodium Benzoate, Potassium sorbate, Parfum (Fragrance), Polyacrylamide, Sodium Polyacrylate, Triethanolamine, C13-14 Isoparaffin, Acrylate/C10-30 Alkyl Acrylate Crosspolymer, Butylene Glycol, Laureth-7, Alcohol Denat., Polysorbate 80, Lecithin, Pentylene Glycol, Caprylyl Glycol, Citric Acid, Propanediol, Xanthan Gum, Algin, Disodium Phosphate, Glyceryl Polyacrylate, Potassium Phosphate, Potassium Citrate, Limonene, Mica, CI 77891 (Titanium Dioxide), CI 77820."
"/Produkt/Serum/Dermika-Luxury-Caviar-kawiorowe-serium-przeciwzmarszczkowe-w-kapsulkach-60g,409859,9225",DERMIKA,Luxury Caviar,60g,"99,99 zł","kawiorowe serium przeciwzmarszczkowe w kapsułkach, ","Aqua, Glycerin, Propanediol, Propylene Glycol, 1,2 - Hexanediol, Caviar Extract, Hydrolyzed Pearl, Sodium Hyaluronate, Caffeine, Centella Asiatica Root Extract, Tocopheryl Acetate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Triethanolamine, PEG-40 Hydrogenated Castor Oil, Perfum, Disodium EDTA, Sodium Benzoate, Potassium Sorbate, Sorbic Acid, Phenoxy-ethanol, Mica, Cl 77499, Cl 77891."
"/Produkt/Serum/Dermika-Luxury-Ceramides-serum-przeciwzmarszczkowe-w-kapsulkach-60-g,409858,9225",DERMIKA,Luxury Ceramides,60 g,"99,99 zł","serum przeciwzmarszczkowe w kapsułkach., ","Aqua/ Glycerin, Propanediol, Propylene Glycol, Helianthus Annuus Seed Oil, 1,2 - Hexanediol, Isopropyl Myristate, Ceramide NG, Jasminum Officinale Flower Extract, Aloe Barbadensis Leaf Juice Powder, Sodium Hyaluronate, Caffeine, Gold, Glyceryl Stearate, Stearyl Alcohol, Steareth-2, Steareth-21, Acrylates/C 10-30 Alkyl Acrylate Crosspolymer, PEG-40 Hydrogenated Castor Oil, Dimethicone, PEG-60 Hydrogenated Castor Oil, PEG-8, Cyclopentasiloxane, Cyclohexasiloxane, Triethanolamine, Parfum, Disodium EDTA, Sodium Benzoate, Potassium Sorbate, Phenoxyethanol, Cl 77400."
"/Produkt/Serum/Janda-Collagen-Reconstructor-odmladzajace-serum-odzywka-na-twarz-szyje-i-dekolt-50-ml,331796,9225",JANDA,Collagen Reconstructor,50 ml,"53,99 zł","odmładzające serum-odżywka na twarz, szyję i dekolt, ","Aqua/Water, Glycerin, Isononyl Isononanoate, Propylene Glycol, Isodecyl Neopentanoate, Caprylic/Capric Triglyceride, Octyldodecanol,  Squalane, Cetearyl Alcohol, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Argania Spinosa Kernel Oil, Vegetable Collagen, Anigozanthos Flavidus (Kangaroo Paw) Extract, Tocopherol, Stearyl Heptanoate, Isohexadecane, Ascorbyl Palmitate, Palmitoyl Tetrapeptide-72 Amide, Ascorbic Acid, Colloidal Gold, Acetyl Heptapeptide-9, Leuconostoc/Radish Root Ferment Filtrate, Dimethicone, Pentaerythrityl Distearate, Sodium Stearoyl Glutamate, Stearyl Caprylate, Polysorbate 80, Xanthan Gum, Sorbitan Oleate, Propanediol, Peg-8, Caprylyl Glycol, Glyceryl Caprylate, Disodium Edta, Citric Acid, Parfum/Fragrance, Phenoxyethanol, Ethylhexylglycerin, Benzyl Alcohol, Benzoic Acid, Benzyl Salicylate, Citronellol, Limonene, Linalool, Alpha-Isomethyl Ionone"
"/Produkt/Serum/Alterra-BIO-serum-przeciwzmarszczkowe-Bio-orchidea-30-ml,171036,9225",ALTERRA,BIO,30 ml,"22,99 zł","serum przeciwzmarszczkowe Bio orchideą, ","Aqua, Glycerin, Alcohol, Sorbitol, Vanilla Planifolia Fruit Extract, Equisetum Arvense Leaf Extract, Sodium Hyaluronate, Ginkgo Biloba Leaf Extract, Camellia Sinensis Leaf Extract, Agrania Spinosa Kernel Oil, Ubiquinone, Xanthan Gum, Parfum, Sodium Hydroxide. "
"/Produkt/Serum/Janda-Szafirowy-nosnik-dermosenolityczne-serum-na-twarz-szyje-i-dekolt-30ml,394448,9225",JANDA,Szafirowy nośnik,30ml,"54,99 zł","dermosenolityczne serum na twarz, szyję i dekolt, ","Aqua, Dimethicone, Glycerin, Hydrolazed Yeast Extract, Glyceryl Stearate, Isodecyl Neopentanoate, Cellulose, Isononyl Isononanoate, Vitis Vinifera (Grape) Seed Oil, Peg-100 Stearate, N-Propyl Palmitoyl, Tripeptide-56 Acetate, Rhododendron Ferrugineum Extract, Palmitoyl Tripeptide-28, Argania Spinosa Kernel Oil, Tocopheryl Acetate, Lecithin, Ascorbyl Palmitate, Caesalpinia Spinosa Extract, Synthetic Sapphire, Kappaphycus Alvarezi Extract, Tocopherol, Ascorbic Acid, Propanediol, Glutathione, Cetearyl Alcohol, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Cetearyl Dimethicone Crosspolymer, Isohexadecane, Sodium Stearoyl Glutamate, C 30-45 Alkyldimethicone, Xanthan Gum, Beeswax, Sorbitan Oleate, Diethylhexyl Syringylidenemalonate, Pentylene Glycol, Cetyl Hydroxyethylcellulose, Polyglucuronic Acid, Caprylic/Capric Triglyceride, Caprylyl Glycol, Disodium Phosphate, Citric Acid, Glyceryl Caprylate, Disodium Edta, Polysorbate 80, Polysorbate 20, PEG-8, Triethanolamine, Parfum/Fragrance, Phenoxyethanol, Ethylhexylglycerin, Potassium Sorbate, Sodium Benzoate, Benzyl Alcohol, Benzoic Acid, Benzyl Salicylate, Citronellol, Limonene, Linalool, Alpha-Isomethylionone."
"/Produkt/Serum/Nivea-Cellular-Luminous-intensywne-serum-przeciw-przebarwieniom-skory-30-ml,381361,9225",NIVEA,Cellular Luminous,30 ml,"89,99 zł","intensywne serum przeciw przebarwieniom skóry, ","Aqua, Isopropyl Palmitate, Cetearyl Isononanoate, Dimethicone, Glycerin, Alcohol Denat., Cocoglycerides, Distarch Phosphate, Butylene Glycol, Methylpropanediol, Tapioca Starch, Isobutylamido Thiazolyl Resorcinol, Sodium Hyaluronate, Tocopheryl Acetate, Stearyl Alcohol, Cetyl Alcohol, Glyceryl Stearate, Sodium Ascorbyl Phosphate, Sodium Stearoyl Glutamate, Sodium Polyacrylate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Trisodium EDTA, Sodium Chloride, Sodium Hydroxide, Sodium Sulfate, Phenoxyethanol, Benzyl Alcohol, Parfum"
"/Produkt/Serum/Nivea-Cellular-Luminous-krem-redukujacy-cienie-pod-oczami-15-ml,394835,9225",NIVEA,Cellular Luminous,15 ml,"69,99 zł","krem redukujący cienie pod oczami, ","Aqua, Glycerin, "
"/Produkt/Serum/More4Care-serum-zelazko-blyskawiczne-do-twarzy-szyi-i-dekoltu-35-ml,410089,9225",MORE4CARE,@NO_NAME@,35 ml,"79,99 zł","serum-żelazko, błyskawiczne, do twarzy szyi i dekoltu, ","Aqua, Cyclopentasiloxane, Dimethicone, Glycerin,  Dimethicone/Vinyl  Dimethicone Crosspolymer,  Dimethicone Crosspolymer, Mu-Conotoxin CNIIIC, Dipeptide Diaminobutyroyl, Benzylamide Diacetate, Ethylhexyl Stearate, Silica, Allantoin, Sodium Polyacrylate, Phenoxyethanol, Lecithin, Pentylene Glycol, Ornithine HCL, Carnosine, Glycine, Histidine, Lysine, Calcium, Gluconate, Magnesium Gluconate, Cupric Chloride, Manganese Chloride, Ethylhexylglycerin, Trideceth 6, Decylene Glycol, 1,2-Hexanediol, Parfum."
